OFFSETS ,"['21.03', '59.20', '7.74']"
GREENS ,"['27.10', '60.88', '19.67', '19.86']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.75', '1.45', '50.91']"
GREENS ,"['12.80', '17.79', '32.94', '3.68']"
LAST_GREENS ,"['47.70', '16.27', '65.32']"
RESULTS:,327.80,113.85,90.00

OFFSETS ,"['20.24', '67.19', '32.11']"
GREENS ,"['58.37', '44.45', '41.65', '7.92']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['71.21', '33.74', '43.38']"
GREENS ,"['24.69', '15.88', '60.53', '39.58']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['0.22', '46.29', '24.50']"
GREENS ,"['31.89', '59.36', '23.94', '62.69']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['46.75', '1.19', '69.71']"
GREENS ,"['41.80', '66.82', '11.55', '9.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['69.94', '52.26', '4.95']"
GREENS ,"['45.71', '50.51', '61.84', '49.10']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['9.32', '1.49', '1.97']"
GREENS ,"['1.71', '16.50', '57.62', '37.18']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.46', '63.15', '9.31']"
GREENS ,"['16.89', '39.25', '64.96', '38.71']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['1.40', '60.05', '17.47']"
GREENS ,"['48.83', '25.99', '57.86', '51.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['41.72', '10.23', '4.49']"
GREENS ,"['7.34', '2.98', '7.20', '15.57']"
LAST_GREENS ,"['53.16', '56.81', '53.43']"
RESULTS:,426.11,141.82,129.00

OFFSETS ,"['53.47', '41.98', '0.94']"
GREENS ,"['4.35', '64.81', '38.06', '14.03']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['1.05', '17.58', '46.26']"
GREENS ,"['57.42', '63.66', '37.30', '63.18']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

